Batch,Program,SME,Timing,Enrolled
B1(A),AI/ML Internship Program,Nishant Shrivastava,01:00 to 03:00,170
B10(B),Advanced Software Engineering & Development Internship,Snehal Vani,6:00 to 8:00,190
B11(A),Advanced Software Engineering & Development Internship,Sulakshna Devre,3:30 to 5:30,190
B12(B),Advanced Software Engineering & Development Internship,Sulakshna Devre,6:00 to 8:00,191
B13(A),AI/ML Internship Program,Puneet Gurvani,3:30 to 5:30,162
B2(B),AI/ML Internship Program,Nishant Shrivastava,6:00 to 8:00,170
B3(A),Digital Marketing Internship Program,Anish Kumar,3:30 to 5:30,70
B4(B),Digital Marketing Internship Program,Ankush Sharma,6:00 to 8:00,98
B5(A),AI/ML Internship Program,Atul Gupta,3:30 to 5:30,170
B6(B),AI/ML Internship Program,Atul Gupta,6:00 to 8:00,170
B7(A),Certification in Advanced Software Engineering & AI foundation,Vinaya Kulkarni,3:30 to 5:30,230
B8(B),Certification in Advanced Software Engineering & AI foundation,Vinaya Kulkarni,6:00 to 8:00,227
B9(A),Advanced Software Engineering & Development Internship,Snehal Vani,3:30 to 5:30,190
